,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
4718,2391602250,6/26/2014,440000.0,4,1.5,1770,5750,2.0,NO,NONE,Average,7 Average,1770,0.0,1947,0.0,98116,47.5621,-122.394,970,5750
12442,6450304630,12/1/2014,229000.0,2,1.0,810,5100,1.0,,NONE,Average,6 Low Average,810,0.0,1955,0.0,98133,47.7317,-122.343,1500,5100
17402,7227501190,4/27/2015,250000.0,3,1.0,1220,5038,1.0,NO,NONE,Very Good,6 Low Average,1220,0.0,1942,0.0,98056,47.496,-122.189,1140,5038
13906,8645500360,3/11/2015,197000.0,4,2.25,1790,13200,1.0,NO,NONE,Average,7 Average,1220,570.0,1979,0.0,98058,47.4672,-122.185,1740,8950
12579,7922900040,5/22/2014,1080000.0,4,3.0,3600,9200,1.0,NO,EXCELLENT,Good,9 Better,2100,1500.0,1976,0.0,98008,47.5866,-122.116,2700,9775
16698,2738600080,8/15/2014,495000.0,4,3.0,2740,2811,2.0,NO,NONE,Average,8 Good,2240,500.0,2003,0.0,98072,47.7738,-122.158,2740,3596
3743,2133010110,5/8/2015,455000.0,4,2.5,1770,13168,2.0,NO,NONE,Average,7 Average,1770,0.0,1990,,98019,47.7306,-121.966,2050,14859
7471,2525300380,4/16/2015,260656.0,3,1.0,1620,13803,1.0,,NONE,Good,6 Low Average,1620,0.0,1969,0.0,98038,47.3631,-122.028,1260,10370
10004,1645000710,4/10/2015,255000.0,3,1.0,1140,8528,1.0,NO,NONE,Very Good,7 Average,1140,0.0,1967,,98022,47.2098,-122.004,1140,8112
20332,2781240050,5/7/2015,349950.0,3,2.0,1640,4714,1.0,NO,NONE,Average,8 Good,1640,0.0,2009,,98038,47.3539,-122.021,1770,4802
11387,5706200370,8/6/2014,550000.0,4,2.75,2230,9460,1.0,NO,NONE,Very Good,7 Average,1480,750.0,1960,0.0,98027,47.5246,-122.044,1760,10878
6813,304100010,12/9/2014,269500.0,4,2.25,1700,7056,2.0,NO,NONE,Average,7 Average,1700,0.0,1999,0.0,98001,47.3385,-122.262,1650,6025
17285,1453600182,5/28/2014,285000.0,2,1.0,800,6240,1.0,NO,NONE,Average,6 Low Average,800,0.0,1954,0.0,98125,47.7257,-122.296,1530,8000
19006,1773600691,6/25/2014,346500.0,3,1.0,1150,11802,1.0,NO,NONE,Good,7 Average,1150,0.0,1932,1958.0,98106,47.5624,-122.361,1880,6082
17250,4068300280,7/8/2014,255000.0,3,1.75,1550,9720,1.0,NO,NONE,Average,7 Average,1050,500.0,1976,0.0,98010,47.3433,-122.037,1550,9750
13952,8141310180,11/18/2014,277500.0,3,2.5,2620,4558,2.0,NO,GOOD,Average,7 Average,2620,0.0,2010,0.0,98022,47.1944,-121.974,1670,4558
10657,7888100240,12/9/2014,245000.0,4,1.5,1850,7547,1.5,NO,NONE,Good,7 Average,1850,0.0,1960,0.0,98198,47.3714,-122.309,1730,7577
19559,4442800040,6/24/2014,575000.0,3,2.25,2400,5000,1.5,NO,NONE,Good,7 Average,1440,960.0,1926,0.0,98117,47.6897,-122.393,1630,5000
20209,2326600130,2/25/2015,895900.0,4,3.5,3640,4983,2.0,NO,GOOD,Average,9 Better,2790,850.0,2014,0.0,98075,47.5619,-122.027,3270,14700
2357,128500260,5/8/2014,262000.0,4,2.5,2020,6236,2.0,NO,NONE,Average,7 Average,2020,0.0,2002,,98001,47.2796,-122.247,1940,5076
4664,7224500090,4/7/2015,414000.0,2,1.0,800,5000,1.0,NO,NONE,Average,6 Low Average,800,0.0,1938,,98055,47.4914,-122.204,1220,5000
14909,6613000715,7/21/2014,1340000.0,4,3.0,2760,4905,2.0,NO,FAIR,Good,9 Better,1840,920.0,1938,0.0,98105,47.6591,-122.27,3200,5424
8376,1087500040,10/14/2014,403000.0,3,1.75,1270,10790,1.0,NO,NONE,Average,7 Average,1270,0.0,1956,0.0,98033,47.6647,-122.177,1270,10790
10156,7517500310,5/6/2015,775000.0,3,1.0,1460,6198,1.5,NO,NONE,Good,7 Average,1460,0.0,1916,0.0,98107,47.6626,-122.361,2280,5160
5707,7211300050,9/30/2014,472000.0,5,2.25,1780,7245,1.0,NO,NONE,Good,8 Good,1330,450.0,1976,,98052,47.6946,-122.12,1780,7653
12738,7867500021,6/16/2014,470000.0,3,1.5,1760,6723,1.0,NO,NONE,Average,7 Average,1160,600.0,1958,0.0,98118,47.5514,-122.266,2080,8965
7176,1175000073,6/6/2014,500000.0,4,1.0,1720,4011,1.5,NO,NONE,Good,7 Average,1720,0.0,1904,0.0,98107,47.6719,-122.396,1580,3784
11062,3395300260,8/15/2014,499990.0,3,1.75,1730,9334,1.0,NO,NONE,Average,8 Good,1220,510.0,1977,0.0,98052,47.6478,-122.113,2020,10000
18598,8113101582,4/15/2015,515000.0,5,3.5,2310,5249,2.0,NO,NONE,Average,8 Good,1560,750.0,2000,0.0,98118,47.5463,-122.272,1900,7296
2124,4345000510,10/15/2014,180500.0,3,2.5,1800,8518,2.0,NO,NONE,Average,7 Average,1800,0.0,1996,,98030,47.3643,-122.185,1770,7570
14012,7852040210,6/17/2014,449950.0,4,2.5,2470,3811,2.0,,NONE,Average,8 Good,2470,0.0,1999,0.0,98065,47.5362,-121.877,2400,4266
5659,139000185,4/28/2015,800000.0,3,2.5,2100,4440,2.0,NO,EXCELLENT,Average,7 Average,2100,0.0,1945,0.0,98116,47.5865,-122.397,2100,6000
3976,8928100025,3/24/2015,750000.0,4,1.5,1950,6300,1.5,NO,FAIR,Average,7 Average,1650,300.0,1944,,98115,47.6819,-122.271,1760,6300
732,2619950350,5/8/2014,403000.0,3,2.75,2090,8354,2.0,NO,NONE,Average,8 Good,2090,0.0,2012,0.0,98019,47.7336,-121.965,2280,6348
5196,8857600680,3/13/2015,285900.0,5,1.5,1690,7725,1.5,NO,,Good,7 Average,1690,0.0,1961,0.0,98032,47.3859,-122.288,1690,7739
3763,1523049188,4/30/2015,84000.0,2,1.0,700,20130,1.0,NO,NONE,Average,6 Low Average,700,0.0,1949,0.0,98168,47.4752,-122.271,1490,18630
79,1531000030,3/23/2015,720000.0,4,2.5,3450,39683,2.0,NO,NONE,Average,10 Very Good,3450,?,2002,0.0,98010,47.342,-122.025,3350,39750
4561,6113400047,3/31/2015,530000.0,4,2.25,2410,14985,1.0,NO,FAIR,Good,7 Average,1950,460.0,1965,0.0,98166,47.4278,-122.343,2510,15256
2331,2346800270,1/6/2015,555000.0,3,3.0,2920,23085,1.5,NO,AVERAGE,Average,7 Average,1540,1380.0,1908,0.0,98136,47.5159,-122.395,2270,18180
4506,3013300017,4/8/2015,535000.0,3,1.0,1290,6859,1.0,NO,NONE,Good,7 Average,1290,0.0,1941,0.0,98136,47.5317,-122.387,1560,6369
333,9550201550,4/8/2015,640000.0,2,1.0,1070,5000,1.0,NO,NONE,Average,7 Average,1070,0.0,1924,0.0,98103,47.6666,-122.331,1710,5000
9178,226059103,5/27/2014,570000.0,3,1.75,1930,36210,1.0,NO,NONE,Average,8 Good,1930,0.0,1977,,98072,47.7692,-122.128,1930,35060
19200,4131900042,5/16/2014,2000000.0,5,4.25,6490,10862,2.0,NO,GOOD,Good,11 Excellent,3940,2550.0,1991,,98040,47.5728,-122.205,3290,14080
11815,9828200187,4/29/2015,370000.0,2,1.0,750,2020,1.0,NO,NONE,Average,7 Average,750,0.0,1908,,98122,47.6175,-122.301,1630,2383
20940,4188300180,11/12/2014,650000.0,3,2.5,2870,7288,2.0,NO,NONE,Average,9 Better,2870,0.0,2012,0.0,98011,47.7745,-122.225,2870,5998
17780,6021503840,6/10/2014,749000.0,3,1.0,1580,5000,1.5,NO,NONE,Average,7 Average,1580,0.0,1926,,98117,47.684,-122.386,1280,4000
11967,9541800075,9/8/2014,685650.0,3,1.75,1490,16200,1.0,NO,NONE,Very Good,8 Good,1490,0.0,1958,0.0,98005,47.5919,-122.175,2070,16200
16822,2473250280,8/26/2014,265000.0,4,2.25,2300,9100,1.0,NO,NONE,Average,7 Average,1280,1020.0,1977,0.0,98058,47.4576,-122.16,1640,9100
6834,4443800130,10/24/2014,320000.0,2,1.0,1380,5820,1.0,NO,NONE,Average,7 Average,1380,0.0,1918,1976.0,98117,47.6875,-122.392,1540,4076
10984,7732000045,11/25/2014,757000.0,3,2.75,2610,11290,1.0,,NONE,Average,7 Average,1630,980.0,1985,0.0,98033,47.6632,-122.201,2570,9125
16757,8644300170,7/3/2014,600000.0,5,2.25,3000,13899,2.0,NO,NONE,Good,8 Good,3000,0.0,1975,,98052,47.6373,-122.105,2270,10763
6177,9284801435,12/3/2014,471000.0,4,1.75,1760,5750,1.0,NO,AVERAGE,Very Good,7 Average,1070,690.0,1962,0.0,98126,47.5521,-122.373,1860,5750
6247,514500235,10/20/2014,411100.0,3,1.5,1040,10323,1.0,,NONE,Good,7 Average,1040,0.0,1958,,98005,47.5882,-122.155,1580,7200
19070,8567450220,8/18/2014,550000.0,4,2.5,2890,9045,2.0,,NONE,Average,8 Good,2890,0.0,2001,0.0,98019,47.7385,-121.965,2840,10114
4289,6145601810,7/18/2014,358803.0,2,1.0,1040,5765,1.0,NO,NONE,Average,7 Average,1040,0.0,1944,,98133,47.7024,-122.346,1040,3844
10026,9238900060,5/29/2014,529000.0,3,1.0,1590,6420,1.0,NO,NONE,Average,7 Average,1590,0.0,1944,,98136,47.5355,-122.392,1780,5900
5400,8860500130,7/17/2014,365000.0,4,3.5,2720,6781,2.0,NO,NONE,Average,8 Good,2100,620.0,1999,0.0,98055,47.4612,-122.215,2280,5942
214,1102000196,5/27/2014,477000.0,4,2.75,1720,6270,2.0,NO,NONE,Average,8 Good,1720,0.0,1978,0.0,98118,47.5458,-122.268,2130,8700
15057,9276200635,4/30/2015,645000.0,3,1.75,1840,4255,1.0,NO,NONE,Average,7 Average,940,900.0,1907,2005.0,98116,47.58,-122.392,1600,4255
19397,8024202520,5/9/2014,445000.0,2,2.0,1150,6634,1.0,NO,NONE,Average,7 Average,860,290.0,1940,,98115,47.7001,-122.309,1680,6892
4801,2525300480,3/4/2015,224975.0,3,1.0,960,12745,1.0,NO,NONE,Good,6 Low Average,960,0.0,1977,0.0,98038,47.3617,-122.03,1160,10488
17645,620079042,3/23/2015,370000.0,2,1.0,2360,105850,1.0,NO,AVERAGE,Fair,6 Low Average,1180,1180.0,1947,0.0,98022,47.2495,-121.97,2640,386812
3154,1827200265,9/11/2014,1900000.0,2,2.75,3690,32044,2.0,YES,EXCELLENT,Average,12 Luxury,3690,0.0,1989,,98166,47.4485,-122.369,2310,26988
106,546000875,5/23/2014,460000.0,3,1.0,1670,4005,1.5,NO,NONE,Good,7 Average,1170,500.0,1939,0.0,98117,47.6878,-122.38,1240,4005
10925,7349620030,7/22/2014,272000.0,4,2.25,2115,6234,2.0,,NONE,Average,7 Average,2115,0.0,1998,0.0,98002,47.285,-122.201,2440,6366
16820,3222079120,10/1/2014,330000.0,2,1.0,1160,32251,1.0,NO,NONE,Average,6 Low Average,580,580.0,1963,,98010,47.3537,-121.939,1160,33656
3404,5318100645,5/27/2014,1570000.0,4,3.75,3070,5850,2.0,NO,NONE,Very Good,9 Better,2400,670.0,1927,0.0,98112,47.633,-122.283,2940,5573
7716,3972900025,3/13/2015,499000.0,6,1.75,2400,7500,1.5,NO,,Average,7 Average,1400,1000.0,1975,0.0,98155,47.7661,-122.313,1980,7500
18138,7574910450,2/3/2015,845000.0,4,2.5,3360,40471,2.0,NO,NONE,Good,10 Very Good,3360,0.0,1994,,98077,47.742,-122.035,3150,36823
9282,2215900180,7/11/2014,270000.0,3,2.5,1690,7165,2.0,NO,NONE,Good,7 Average,1690,0.0,1992,0.0,98038,47.3498,-122.058,1410,8590
10434,1796380310,9/4/2014,240000.0,3,2.0,1310,8069,1.0,NO,NONE,Average,7 Average,1310,0.0,1990,0.0,98042,47.3694,-122.083,1310,8392
6525,8563000470,7/23/2014,585000.0,4,2.5,1860,8117,1.0,NO,NONE,Good,8 Good,1460,400.0,1966,0.0,98008,47.6228,-122.104,2040,8199
16602,1626069102,3/23/2015,500000.0,4,2.25,2060,44431,2.0,NO,NONE,Average,7 Average,2060,0.0,1988,0.0,98077,47.744,-122.046,2160,45657
6387,3363400655,7/24/2014,549000.0,2,2.0,1980,6000,1.5,NO,NONE,Very Good,7 Average,1220,760.0,1906,0.0,98103,47.6809,-122.351,1280,3900
13903,3395350210,3/24/2015,810000.0,5,3.25,2950,67475,1.0,NO,NONE,Average,8 Good,2530,420.0,1981,2004.0,98072,47.7233,-122.117,2620,39820
13788,4307330120,9/17/2014,320000.0,3,2.5,1680,4584,2.0,NO,NONE,Average,7 Average,1680,0.0,2003,0.0,98056,47.4794,-122.182,2160,4621
14182,2595300210,11/6/2014,473600.0,4,1.5,1780,8400,1.0,NO,NONE,Average,7 Average,1080,700.0,1969,0.0,98136,47.5173,-122.385,1660,8400
1528,4054510270,8/27/2014,1250000.0,4,3.75,3830,41263,2.0,NO,NONE,Good,11 Excellent,3830,0.0,1990,0.0,98077,47.7237,-122.042,5600,56568
20966,745530040,9/11/2014,845950.0,5,2.75,4450,9600,2.0,NO,NONE,Average,9 Better,3650,800.0,2014,0.0,98011,47.7336,-122.21,4000,9750
965,5462100240,6/25/2014,196500.0,3,1.0,1320,9000,1.0,NO,NONE,Average,7 Average,1320,0.0,1966,0.0,98001,47.3461,-122.272,1320,9800
15806,1193000480,7/24/2014,784000.0,4,2.75,3540,7091,1.5,NO,FAIR,Good,8 Good,1970,1570.0,1947,0.0,98199,47.6467,-122.394,2200,6000
15139,3388100020,8/12/2014,225000.0,3,1.5,1660,7221,1.0,NO,NONE,Average,7 Average,980,680.0,1962,0.0,98168,47.4962,-122.32,1770,8083
455,7702010030,5/20/2014,551000.0,3,2.5,2830,5802,2.0,NO,NONE,Average,9 Better,2830,0.0,2001,0.0,98028,47.7605,-122.234,2500,5788
8763,7856000110,2/3/2015,895000.0,3,2.5,2750,10000,1.0,NO,GOOD,Average,8 Good,1650,1100.0,1967,,98006,47.5644,-122.153,2490,10000
7053,8944360170,11/14/2014,517500.0,3,2.5,1810,4332,2.0,NO,NONE,Average,8 Good,1810,0.0,1992,,98029,47.5776,-121.996,1740,4332
11802,4364700885,9/12/2014,324950.0,3,1.5,1210,7560,1.0,NO,NONE,Average,7 Average,1210,0.0,1941,0.0,98126,47.5255,-122.374,980,7560
8727,7853301570,4/30/2015,685000.0,4,2.5,3550,10968,2.0,,NONE,Average,9 Better,3550,0.0,2006,0.0,98065,47.5431,-121.886,3550,8583
10392,2205500335,8/7/2014,420000.0,4,1.75,1940,11500,1.0,NO,NONE,Good,7 Average,1090,850.0,1955,0.0,98006,47.5774,-122.147,1700,8360
15049,7856610130,7/21/2014,840000.0,4,2.25,2720,8712,2.0,NO,NONE,Good,9 Better,2720,0.0,1976,0.0,98006,47.5616,-122.153,2470,8714
8958,625049274,3/3/2015,720000.0,3,2.0,1590,5200,1.0,,NONE,Average,7 Average,1320,270.0,1939,,98103,47.6864,-122.341,1620,5150
21479,7787920180,5/4/2015,534950.0,5,2.5,3220,10572,2.0,NO,NONE,Average,8 Good,3220,0.0,2006,0.0,98019,47.7268,-121.957,2890,9090
19265,3658700395,4/9/2015,628000.0,4,1.75,1940,3060,1.0,NO,NONE,Good,7 Average,1000,940.0,1911,0.0,98115,47.6786,-122.317,1320,3060
20053,3630200300,7/25/2014,1240000.0,4,3.5,4670,6000,2.0,NO,GOOD,Average,11 Excellent,3820,850.0,2007,0.0,98027,47.5414,-121.994,4310,6000
8678,6822100750,5/8/2015,700000.0,3,1.75,1500,6000,1.0,NO,NONE,Very Good,7 Average,850,650.0,1940,0.0,98199,47.6474,-122.402,1700,6000
20874,7708200880,9/23/2014,562500.0,5,2.75,2920,6327,2.0,NO,NONE,Average,8 Good,2920,0.0,2007,,98059,47.4935,-122.145,2520,5026
16919,6448000010,4/28/2015,1390000.0,4,2.25,2940,20384,2.0,NO,NONE,Good,9 Better,2940,0.0,1970,0.0,98004,47.6214,-122.227,3410,19910
17809,1646500365,11/21/2014,579000.0,3,1.75,1800,4429,2.0,,NONE,Good,7 Average,1800,0.0,1906,0.0,98103,47.6842,-122.357,1310,4429
3646,7523900300,4/7/2015,370000.0,4,2.75,2310,14745,1.0,NO,NONE,Average,7 Average,1410,900.0,1993,0.0,98198,47.377,-122.31,2060,9678
11522,3365900520,6/18/2014,192500.0,3,1.0,1080,8580,1.5,NO,NONE,Average,6 Low Average,1080,0.0,1900,0.0,98168,47.4716,-122.262,1800,12672
173,1762600070,1/16/2015,917500.0,4,2.5,3880,35003,2.0,NO,NONE,Average,10 Very Good,2570,1310.0,1984,0.0,98033,47.6477,-122.182,3740,35230
15035,8924600020,11/14/2014,1540000.0,4,4.5,5770,10050,1.0,NO,GOOD,Very Good,9 Better,3160,2610.0,1949,,98115,47.677,-122.275,2950,6700
12698,7954300120,8/22/2014,600000.0,4,2.5,2600,6536,2.0,NO,NONE,Average,9 Better,2600,0.0,1999,,98056,47.5232,-122.191,2640,6185
8527,3879901295,11/10/2014,1240000.0,3,2.5,2660,1973,3.0,NO,GOOD,Average,9 Better,1870,790.0,2007,0.0,98119,47.6264,-122.364,1640,1369
14103,2902200915,11/25/2014,675000.0,3,1.75,2130,4400,1.0,NO,NONE,Average,7 Average,1430,700.0,1922,0.0,98102,47.6417,-122.325,1710,3300
9872,8887001600,4/12/2015,280000.0,2,1.0,990,45528,1.0,,NONE,Good,7 Average,990,0.0,1992,,98070,47.5013,-122.463,1730,45528
1526,8016300030,11/3/2014,555000.0,5,2.5,2090,8712,1.0,NO,NONE,Average,8 Good,1420,670.0,1966,0.0,98008,47.5968,-122.127,2490,8712
18720,7227800180,4/3/2015,325000.0,5,2.0,1730,10532,1.0,NO,NONE,Good,5 Fair,1730,?,1943,0.0,98056,47.5076,-122.178,1940,8501
749,1138020200,9/3/2014,435000.0,4,1.5,1510,6460,1.0,NO,NONE,Average,7 Average,1070,440.0,1970,0.0,98034,47.7121,-122.214,1450,6630
611,2321300390,11/5/2014,650000.0,3,2.0,1870,3388,1.0,,NONE,Good,8 Good,1230,640.0,1925,,98199,47.6372,-122.395,1780,4050
15626,2826049091,9/29/2014,259950.0,2,1.0,790,8100,1.0,NO,NONE,Average,6 Low Average,790,0.0,1947,0.0,98125,47.7159,-122.305,1420,8100
15178,3625059109,5/8/2014,1050000.0,4,3.0,2920,33976,1.0,NO,GOOD,Very Good,8 Good,1460,1460.0,1964,0.0,98008,47.6164,-122.104,2970,15210
13602,2190600243,11/18/2014,210000.0,3,1.5,1400,9600,1.0,NO,NONE,Good,7 Average,1400,0.0,1964,0.0,98003,47.2878,-122.297,2210,15000
5175,9285800275,8/14/2014,835000.0,3,2.25,2520,6690,2.0,NO,AVERAGE,Very Good,8 Good,1700,820.0,1944,1990.0,98126,47.5705,-122.381,1990,5792
19853,7202280390,2/20/2015,625250.0,4,2.5,2755,4831,2.0,NO,NONE,Average,7 Average,2755,0.0,2003,0.0,98053,47.685,-122.039,2510,4831
7836,7518505345,12/29/2014,550000.0,2,1.0,950,4080,1.0,NO,NONE,Good,7 Average,950,0.0,1924,,98117,47.6765,-122.384,1120,4080
2030,2414600400,8/5/2014,210000.0,2,2.0,1190,7570,1.0,NO,NONE,Average,6 Low Average,1190,0.0,1939,0.0,98146,47.5113,-122.338,1190,7635
12138,1708400370,6/26/2014,339000.0,2,1.0,950,7954,1.0,NO,NONE,Good,7 Average,950,0.0,1941,,98108,47.557,-122.306,1180,6828
13332,1370801565,10/30/2014,1100000.0,4,2.5,2910,8881,2.0,,FAIR,Average,10 Very Good,1940,970.0,1932,0.0,98199,47.6424,-122.411,2540,5250
16099,3379100130,6/18/2014,507000.0,4,1.75,1770,9375,1.0,NO,NONE,Good,7 Average,1170,600.0,1968,,98052,47.6935,-122.112,1540,9375
18125,9169100175,5/7/2015,700000.0,4,2.0,2490,4700,1.0,NO,NONE,Good,7 Average,1690,800.0,1952,0.0,98136,47.5254,-122.392,2240,5000
348,808000070,10/21/2014,206600.0,3,2.0,1390,13464,1.0,NO,NONE,Good,7 Average,1390,0.0,1987,0.0,98030,47.3581,-122.173,1720,12080
15857,3750604417,5/26/2014,172500.0,3,1.0,1140,8800,1.0,NO,NONE,Average,7 Average,1140,0.0,1972,,98001,47.2629,-122.275,1270,13560
17261,5259800440,9/26/2014,232000.0,3,1.75,1290,6604,1.0,,NONE,Average,7 Average,1290,0.0,1984,0.0,98023,47.323,-122.349,1440,6682
19976,1972200553,8/4/2014,619000.0,3,2.25,1650,946,3.0,NO,NONE,Average,8 Good,1650,0.0,2014,,98103,47.6536,-122.354,1570,1283
20697,1250200693,7/18/2014,515000.0,3,3.0,2100,2409,2.0,NO,NONE,Average,8 Good,1660,440.0,2008,0.0,98144,47.5973,-122.298,1900,2400
3736,2781250750,8/28/2014,222000.0,2,2.0,1360,3300,2.0,NO,NONE,Average,6 Low Average,1360,0.0,2004,0.0,98038,47.3489,-122.022,1310,3300
21176,642150080,9/8/2014,675900.0,3,2.5,2920,9096,2.0,NO,NONE,Average,9 Better,2920,0.0,2013,0.0,98059,47.4855,-122.149,2930,7995
19196,9144300120,1/28/2015,374500.0,3,1.0,960,9531,1.0,NO,NONE,Very Good,7 Average,960,0.0,1969,0.0,98072,47.7619,-122.162,1670,9250
18368,6675500082,8/12/2014,455000.0,3,2.5,1600,7829,2.0,NO,NONE,Average,7 Average,1600,0.0,1987,0.0,98034,47.7288,-122.227,1580,9104
1562,7522500070,2/4/2015,610000.0,3,1.0,1800,5750,1.0,NO,NONE,Average,7 Average,1040,760.0,1947,0.0,98117,47.68600000000001,-122.395,1320,5625
17328,4232900250,7/10/2014,525000.0,2,1.5,1340,3600,1.5,,NONE,Average,7 Average,1340,0.0,1903,0.0,98119,47.6358,-122.364,1340,3600
5623,3291800660,3/13/2015,406000.0,3,1.75,1390,7904,1.0,NO,NONE,Average,7 Average,1390,0.0,1985,0.0,98056,47.4892,-122.181,1910,7904
19245,3276940100,5/22/2014,1000000.0,4,3.0,4260,18687,2.0,NO,NONE,Average,11 Excellent,4260,0.0,1996,0.0,98075,47.5874,-121.982,3490,16772
20024,2619950110,6/24/2014,415000.0,3,2.5,2280,6031,2.0,NO,NONE,Average,8 Good,2280,0.0,2011,0.0,98019,47.7322,-121.966,2430,7200
15340,3066200460,12/18/2014,572500.0,3,2.0,2290,11200,2.0,NO,NONE,Average,9 Better,2290,0.0,1979,0.0,98052,47.6517,-122.124,2250,10000
2755,3520069033,6/23/2014,230000.0,3,1.0,1530,389126,1.5,NO,NONE,Good,7 Average,1530,0.0,1919,0.0,98022,47.1776,-122.011,1768,42148
3212,868001295,10/29/2014,650000.0,3,1.75,1660,10819,1.0,NO,NONE,Good,7 Average,1240,420.0,1942,0.0,98177,47.7045,-122.379,3110,11853
7401,6456200020,8/26/2014,410000.0,3,2.0,1740,9300,1.0,,NONE,Good,7 Average,1740,0.0,1952,0.0,98166,47.4526,-122.357,1540,9638
19264,1432700880,4/9/2015,280000.0,2,1.0,1150,12861,1.0,,NONE,Average,6 Low Average,1150,0.0,1959,0.0,98058,47.4493,-122.171,1170,7574
17992,7224500375,7/15/2014,305000.0,3,1.0,1030,5350,1.0,NO,NONE,Average,7 Average,1030,0.0,1924,2009.0,98055,47.4905,-122.206,1030,5250
17835,1226039058,5/3/2015,425000.0,4,1.75,2520,11017,1.0,NO,NONE,Good,7 Average,1320,1200.0,1956,0.0,98133,47.7604,-122.356,1660,8775
9560,722059002,9/9/2014,380000.0,2,2.5,2110,114127,1.0,NO,NONE,Good,8 Good,1590,520.0,1975,0.0,98031,47.4137,-122.212,1960,11250
4721,3303230110,8/4/2014,424000.0,3,1.75,1430,6818,1.0,NO,NONE,Very Good,7 Average,1430,0.0,1972,0.0,98034,47.7271,-122.196,1480,7210
17745,5592900205,4/9/2015,380000.0,2,1.75,1800,7191,1.0,,GOOD,Good,7 Average,990,810.0,1952,0.0,98056,47.4828,-122.191,1940,7400
5965,3723800415,10/15/2014,425000.0,2,2.0,1440,6677,1.0,NO,NONE,Average,7 Average,870,570.0,1952,0.0,98118,47.5513,-122.264,2020,7642
8254,5628300015,11/6/2014,375000.0,3,2.0,1640,9750,1.0,NO,NONE,Average,7 Average,1640,0.0,1959,0.0,98028,47.7425,-122.241,1340,9750
13796,263000155,5/5/2014,418000.0,3,2.0,1410,6030,1.5,NO,NONE,Good,7 Average,1410,0.0,1930,0.0,98103,47.6994,-122.347,1410,6300
18267,3761700067,3/6/2015,959000.0,3,2.5,3320,11875,1.0,NO,NONE,Very Good,10 Very Good,3320,0.0,1979,0.0,98034,47.7212,-122.26,3730,11875
4096,7140800100,10/14/2014,125000.0,3,1.0,920,7276,1.0,NO,NONE,Good,6 Low Average,920,0.0,1961,,98002,47.285,-122.211,1120,7276
6459,2877104175,9/10/2014,1290000.0,5,3.5,3210,4060,2.0,NO,AVERAGE,Average,10 Very Good,2290,920.0,1917,2003.0,98117,47.6801,-122.357,1940,5000
18220,6751300375,10/16/2014,522500.0,3,1.0,1520,9030,1.0,NO,NONE,Average,7 Average,1520,0.0,1956,,98007,47.587,-122.134,1470,8712
15318,6140100095,5/20/2014,475000.0,4,1.75,1650,7775,1.0,NO,NONE,Good,7 Average,1150,500.0,1950,0.0,98133,47.715,-122.354,1390,7200
12543,9202650210,5/7/2014,618080.0,3,2.5,2030,6500,2.0,NO,NONE,Average,8 Good,2030,0.0,1988,0.0,98027,47.5654,-122.092,2030,8485
7711,3352400330,3/27/2015,216000.0,2,1.0,1810,10360,1.0,NO,NONE,Average,6 Low Average,1010,800.0,1946,,98178,47.5039,-122.266,1810,10360
13250,4038100360,2/10/2015,466200.0,3,1.5,1340,8856,1.0,NO,NONE,Good,7 Average,1340,0.0,1959,0.0,98008,47.6094,-122.126,1850,8740
14078,1822059057,7/25/2014,152000.0,2,1.0,700,13500,1.0,NO,NONE,Average,4 Low,700,0.0,1920,,98031,47.3882,-122.208,1600,10124
13437,1453602283,5/7/2015,342000.0,2,2.0,1320,1462,3.0,NO,NONE,Average,7 Average,1320,0.0,1997,0.0,98125,47.7223,-122.29,1430,1650
15800,4140500050,9/8/2014,362000.0,3,1.0,1290,10125,1.0,NO,NONE,Good,7 Average,1290,0.0,1956,0.0,98028,47.7641,-122.265,1760,14460
20105,9834201145,2/22/2015,635000.0,4,2.5,2880,3091,2.0,NO,NONE,Average,9 Better,1940,940.0,2014,0.0,98144,47.5711,-122.286,1560,4080
17470,3726800010,7/14/2014,270000.0,2,1.0,1150,3600,1.0,NO,NONE,Average,6 Low Average,1150,0.0,1910,0.0,98144,47.5729,-122.31,1160,4000
16574,1370800825,8/23/2014,1300000.0,4,2.25,2860,5658,2.0,NO,GOOD,Average,10 Very Good,2130,730.0,1933,,98199,47.6395,-122.409,2700,5221
7276,5605000430,9/17/2014,1160000.0,4,2.5,2790,5450,2.0,NO,NONE,Average,10 Very Good,1930,860.0,1925,,98112,47.6453,-122.303,2320,5450
9437,42000065,3/5/2015,355000.0,2,1.0,1450,9150,1.0,NO,NONE,Good,7 Average,1450,0.0,1965,0.0,98188,47.4689,-122.277,1440,10636
8657,425049146,7/15/2014,975000.0,3,2.5,3050,7410,1.5,NO,NONE,Very Good,8 Good,1950,1100.0,1950,,98115,47.6772,-122.296,1890,5814
18377,7202360760,7/11/2014,790000.0,4,2.5,3500,9198,2.0,NO,NONE,Average,9 Better,3500,0.0,2004,0.0,98053,47.6785,-122.025,3990,8598
10182,2025701360,10/14/2014,260000.0,3,2.5,1510,6095,2.0,NO,NONE,Good,7 Average,1510,0.0,1991,0.0,98038,47.3498,-122.037,1520,6000
